Timestamp,Score
2026-02-22 07:02:23,8
2026-02-22 07:02:23,3
2026-02-22 07:02:24,1
2026-02-22 07:02:24,8
2026-02-22 07:02:25,8
2026-02-22 07:02:25,8
2026-02-22 07:02:26,8
2026-02-22 07:02:26,8
2026-02-22 07:02:27,7
2026-02-22 07:02:27,7
2026-02-22 07:02:28,6
2026-02-22 07:02:28,7
2026-02-22 07:02:29,7
2026-02-22 07:02:29,7
2026-02-22 07:02:30,7
2026-02-22 07:02:30,7
2026-02-22 07:02:31,7
2026-02-22 07:02:31,7
2026-02-22 07:02:32,8
2026-02-22 07:02:32,7
2026-02-22 07:02:33,7
2026-02-22 07:02:34,7
2026-02-22 07:02:34,7
2026-02-22 07:02:35,7
2026-02-22 07:02:35,7
2026-02-22 07:02:36,7
2026-02-22 07:02:36,7
2026-02-22 07:02:37,8
2026-02-22 07:02:37,8
2026-02-22 07:02:38,7
2026-02-22 07:02:38,7
2026-02-22 07:02:39,8
2026-02-22 07:02:39,8
2026-02-22 07:02:40,8
2026-02-22 07:02:40,8
2026-02-22 07:02:41,8
